actor,movie_or_TV_name
Atsuko Tanaka,The Wrong Way to Use Healing Magic
Atsuko Tanaka,Ghost in the Shell: SAC_2045 The Last Human
Atsuko Tanaka,Frieren: Beyond Journey's End
Atsuko Tanaka,MAKE MY DAY
Atsuko Tanaka,Lucifer and the Biscuit Hammer
Atsuko Tanaka,Ghost in the Shell: SAC_2045 Sustainable War
Atsuko Tanaka,Kimi to Fit Boxing
Atsuko Tanaka,Detective Conan: The Scarlet Bullet
Atsuko Tanaka,The Way of the Househusband
Atsuko Tanaka,Detective Conan: The Scarlet Alibi
Atsuko Tanaka,The Gymnastics Samurai
Atsuko Tanaka,Jujutsu Kaisen
Atsuko Tanaka,Ghost in the Shell: SAC_2045
Atsuko Tanaka,Listeners
Atsuko Tanaka,ACCA: 13-Territory Inspection Dept. - Regards
Atsuko Tanaka,Gundam Reconguista in G Movie I: Go! Core Fighter
Atsuko Tanaka,Detective Conan: The Scarlet School Trip
Atsuko Tanaka,Usuzumizakura: Garo
Atsuko Tanaka,I Want to Eat Your Pancreas
Atsuko Tanaka,Batman Ninja
Atsuko Tanaka,Cutie Honey Universe
Atsuko Tanaka,A.I.C.O. -Incarnation-
Atsuko Tanaka,Devilman Crybaby
Masamichi Sato,Kiseki taiken! Unbelievable
Masamichi Sato,Kemeko Deluxe!
Masamichi Sato,Figure 17: Tsubasa & Hikaru
Atsuko Hayashida,Ghost in the Shell
Atsushi Goto,Tengoku Daimakyo
Atsushi Goto,Ghost in the Shell
Toshiki Kameyama,Ghost in the Shell
Yuji Ueda,Pokémon: The Arceus Chronicles
Maaya Sakamoto,A Condition Called Love
Atsuko Tanaka,Fate/stay night: Heaven's Feel I. Presage Flower
Atsuko Tanaka,GARO -VANISHING LINE-
Atsuko Tanaka,3-Nen D-Gumi Glass no Kamen: Tobidase Watashitachi no Victory Road
Atsuko Tanaka,ACCA: 13-Territory Inspection Dept.
Atsuko Tanaka,The Glass Mask Year 3 Class D
Masamichi Sato,Rune Soldier
Masamichi Sato,Inspector Muta's Incident Files: Yokohama to Kushiro Field. The Mystery of the Triple Murder That Only Marimo Knows.
Masamichi Sato,Cybuster
Masamichi Sato,Visitor
Masamichi Sato,Flint: The Time Detective
Masamichi Sato,Next War Chronicle Ehrgeiz
Yuji Ueda,SHAMAN KING
Yuji Ueda,Aria the Crepuscolo
Yuji Ueda,Mashin Sentai Kiramager
Yuji Ueda,Shinkansen Henkei Robo Shinkalion The Movie: The Marvelous Fast ALFA-X That Comes From the Future
Maaya Sakamoto,Coral of the Moon
Maaya Sakamoto,Mobile Suit Gundam SEED FREEDOM
Maaya Sakamoto,Kizumonogatari -Koyomi Vamp-
Atsuko Tanaka,Thunderbolt Fantasy
